ZHGXTV聚合,#genre#
CCTV-1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV-2,http://112.46.105.20:8009/hls/502/index.m3u8
CCTV-3-高清,http://112.46.105.20:8009/hls/3/index.m3u8
CCTV-4,http://112.46.105.20:8009/hls/4/index.m3u8
CCTV-5-高清,http://112.46.105.20:8009/hls/503/index.m3u8
CCTV-6-高清,http://112.46.105.20:8009/hls/6/index.m3u8
CCTV-7,http://112.46.105.20:8009/hls/504/index.m3u8
CCTV-8-高清,http://112.46.105.20:8009/hls/8/index.m3u8
CCTV-9,http://112.46.105.20:8009/hls/509/index.m3u8
CCTV-10,http://112.46.105.20:8009/hls/506/index.m3u8
CCTV-11,http://112.46.105.20:8009/hls/11/index.m3u8
CCTV-12,http://112.46.105.20:8009/hls/507/index.m3u8
CCTV-13,http://112.46.105.20:8009/hls/13/index.m3u8
CCTV-少儿,http://112.46.105.20:8009/hls/14/index.m3u8
CCTV-15(音乐),http://112.46.105.20:8009/hls/15/index.m3u8
CCTV-NEWS,http://112.46.105.20:8009/hls/16/index.m3u8
陕西卫视,http://112.46.105.20:8009/hls/17/index.m3u8
陕西一套,http://112.46.105.20:8009/hls/18/index.m3u8
陕西二套,http://112.46.105.20:8009/hls/19/index.m3u8
陕西三套,http://112.46.105.20:8009/hls/20/index.m3u8
陕西四套,http://112.46.105.20:8009/hls/21/index.m3u8
陕西五套,http://112.46.105.20:8009/hls/22/index.m3u8
陕西六套,http://112.46.105.20:8009/hls/23/index.m3u8
陕西七套,http://112.46.105.20:8009/hls/24/index.m3u8
陕西八套,http://112.46.105.20:8009/hls/62/index.m3u8
精彩三秦,http://112.46.105.20:8009/hls/26/index.m3u8
农林卫视,http://112.46.105.20:8009/hls/27/index.m3u8
西安一套,http://112.46.105.20:8009/hls/28/index.m3u8
西安二套,http://112.46.105.20:8009/hls/29/index.m3u8
东方卫视,http://112.46.105.20:8009/hls/31/index.m3u8
湖南卫视,http://112.46.105.20:8009/hls/32/index.m3u8
江苏卫视,http://112.46.105.20:8009/hls/33/index.m3u8
浙江卫视,http://112.46.105.20:8009/hls/34/index.m3u8
北京卫视,http://112.46.105.20:8009/hls/35/index.m3u8
广东卫视,http://112.46.105.20:8009/hls/36/index.m3u8
深圳卫视,http://112.46.105.20:8009/hls/37/index.m3u8
黑龙江卫视,http://112.46.105.20:8009/hls/38/index.m3u8
湖北卫视,http://112.46.105.20:8009/hls/39/index.m3u8
山东卫视,http://112.46.105.20:8009/hls/40/index.m3u8
四川卫视,http://112.46.105.20:8009/hls/41/index.m3u8
安徽卫视,http://112.46.105.20:8009/hls/42/index.m3u8
重庆卫视,http://112.46.105.20:8009/hls/43/index.m3u8
东南卫视,http://112.46.105.20:8009/hls/45/index.m3u8
天津卫视,http://112.46.105.20:8009/hls/44/index.m3u8
河南卫视,http://112.46.105.20:8009/hls/46/index.m3u8
江西卫视,http://112.46.105.20:8009/hls/47/index.m3u8
吉林卫视,http://112.46.105.20:8009/hls/48/index.m3u8
山西卫视,http://112.46.105.20:8009/hls/49/index.m3u8
贵州卫视,http://112.46.105.20:8009/hls/50/index.m3u8
甘肃卫视,http://112.46.105.20:8009/hls/51/index.m3u8
宁夏卫视,http://112.46.105.20:8009/hls/52/index.m3u8
广西卫视,http://112.46.105.20:8009/hls/53/index.m3u8
辽宁卫视,http://112.46.105.20:8009/hls/54/index.m3u8
河北卫视,http://112.46.105.20:8009/hls/55/index.m3u8
云南卫视,http://112.46.105.20:8009/hls/56/index.m3u8
旅游卫视,http://112.46.105.20:8009/hls/57/index.m3u8
青海卫视,http://112.46.105.20:8009/hls/58/index.m3u8
西藏卫视,http://112.46.105.20:8009/hls/59/index.m3u8
内蒙古卫视,http://112.46.105.20:8009/hls/60/index.m3u8
新疆卫视,http://112.46.105.20:8009/hls/61/index.m3u8
东方财经,http://112.46.105.20:8009/hls/63/index.m3u8
嘉佳卡通,http://112.46.105.20:8009/hls/66/index.m3u8
金鹰卡通,http://112.46.105.20:8009/hls/67/index.m3u8
动漫秀场,http://112.46.105.20:8009/hls/68/index.m3u8
生活时尚,http://112.46.105.20:8009/hls/71/index.m3u8
篮球频道,http://112.46.105.20:8009/hls/64/index.m3u8
都市剧场,http://112.46.105.20:8009/hls/72/index.m3u8
全记实,http://112.46.105.20:8009/hls/75/index.m3u8
法制天地,http://112.46.105.20:8009/hls/76/index.m3u8
欢笑剧场,http://112.46.105.20:8009/hls/78/index.m3u8
游戏风云,http://112.46.105.20:8009/hls/77/index.m3u8
CCTV1高清,http://118.249.6.254:8082/hls/1/index.m3u8
CCTV2高清,http://118.249.6.254:8082/hls/2/index.m3u8
CCTV3高清,http://118.249.6.254:8082/hls/3/index.m3u8
CCTV4高清,http://118.249.6.254:8082/hls/4/index.m3u8
CCTV5高清,http://118.249.6.254:8082/hls/5/index.m3u8
CCTV6高清,http://118.249.6.254:8082/hls/7/index.m3u8
CCTV7高清,http://118.249.6.254:8082/hls/8/index.m3u8
CCTV-8高清,http://118.249.6.254:8082/hls/9/index.m3u8
CCTV-9高清,http://118.249.6.254:8082/hls/10/index.m3u8
CCTV10高清,http://118.249.6.254:8082/hls/11/index.m3u8
CCTV11高清,http://118.249.6.254:8082/hls/12/index.m3u8
CCTV12高清,http://118.249.6.254:8082/hls/13/index.m3u8
CCTV13高清,http://118.249.6.254:8082/hls/14/index.m3u8
CCTV14高清,http://118.249.6.254:8082/hls/15/index.m3u8
CCTV15高清,http://118.249.6.254:8082/hls/16/index.m3u8
CCTV5+高清,http://118.249.6.254:8082/hls/6/index.m3u8
湖南卫视,http://118.249.6.254:8082/hls/17/index.m3u8
湖南电影高清,http://118.249.6.254:8082/hls/18/index.m3u8
湖南公共高清,http://118.249.6.254:8082/hls/19/index.m3u8
湖南娱乐高清,http://118.249.6.254:8082/hls/20/index.m3u8
江苏卫视,http://118.249.6.254:8082/hls/21/index.m3u8
浙江卫视,http://118.249.6.254:8082/hls/22/index.m3u8
北京卫视,http://118.249.6.254:8082/hls/23/index.m3u8
广东卫视,http://118.249.6.254:8082/hls/24/index.m3u8
东方卫视,http://118.249.6.254:8082/hls/25/index.m3u8
天津卫视,http://118.249.6.254:8082/hls/26/index.m3u8
江西卫视,http://118.249.6.254:8082/hls/27/index.m3u8
深圳卫视,http://118.249.6.254:8082/hls/28/index.m3u8
辽宁卫视,http://118.249.6.254:8082/hls/29/index.m3u8
东南卫视,http://118.249.6.254:8082/hls/30/index.m3u8
海南卫视,http://118.249.6.254:8082/hls/31/index.m3u8
湖北卫视,http://118.249.6.254:8082/hls/32/index.m3u8
广西卫视,http://118.249.6.254:8082/hls/33/index.m3u8
山东卫视,http://118.249.6.254:8082/hls/34/index.m3u8
重庆卫视,http://118.249.6.254:8082/hls/35/index.m3u8
云南卫视,http://118.249.6.254:8082/hls/36/index.m3u8
河南卫视,http://118.249.6.254:8082/hls/37/index.m3u8
黑龙江卫视,http://118.249.6.254:8082/hls/38/index.m3u8
贵州卫视,http://118.249.6.254:8082/hls/39/index.m3u8
河北卫视,http://118.249.6.254:8082/hls/40/index.m3u8
吉林卫视,http://118.249.6.254:8082/hls/41/index.m3u8
陕西卫视,http://118.249.6.254:8082/hls/42/index.m3u8
山西卫视,http://118.249.6.254:8082/hls/43/index.m3u8
